InvoiceGlobalId,cluster
4099_1274642,2
4099_1274643,0
4099_1274644,0
4099_1274645,4
4099_1274647,0
4099_1274651,4
4099_1274652,0
4099_1274653,4
4099_1274655,6
4099_1274656,6
4099_1274659,0
4099_1274662,6
4099_1274663,7
4099_1274664,4
4099_1274665,6
4099_1274666,4
4099_1274669,4
4099_1274670,3
4099_1274671,4
4099_1274672,5
4099_1274673,0
4099_1274674,4
4099_1274675,7
4099_1274676,2
4099_1274678,0
4099_1274682,4
4099_1274683,2
4099_1274684,0
4099_1274685,6
4099_1274686,0
4099_1274687,1
4099_1274688,0
4099_1274690,1
4099_1274691,4
4099_1274693,5
4099_1274694,2
4099_1274695,5
4099_1274699,0
4099_1274700,6
4099_1274703,4
4099_1274705,6
4099_1274706,1
4099_1274707,1
4099_1274709,5
4099_1274711,0
4099_1274713,0
4099_1274714,4
4099_1274716,4
4099_1274717,4
4099_1274718,0
4099_1274720,4
4099_1274721,4
4099_1274722,4
4099_1274724,0
4099_1274725,0
4099_1274726,4
4099_1274727,0
4099_1274728,6
4099_1274730,4
4099_1274731,4
4099_1274732,4
4099_1274733,7
4099_1274734,0
4099_1274735,4
4099_1274736,4
4099_1274737,4
4099_1274738,4
4099_1274739,4
4099_1274740,0
4099_1274741,5
4099_1274742,3
4099_1274743,0
4099_1274745,4
4099_1274747,3
4099_1274748,0
4099_1274750,4
4099_1274751,3
4099_1274752,4
4099_1274753,4
4099_1274754,3
4099_1274755,5
4099_1274757,7
4099_1274758,4
4099_1274759,4
4099_1274760,0
4099_1274764,0
4099_1274765,5
4099_1274767,4
4099_1274769,0
4099_1274770,4
4099_1274771,0
4099_1274772,6
4099_1274773,6
4099_1274774,5
4099_1274775,6
4099_1274777,6
4099_1274778,4
4099_1274780,7
4099_1274781,1
4099_1274784,4
4099_1274785,0
4099_1274786,6
4099_1274788,4
4099_1274789,6
4099_1274790,4
4099_1274791,0
4099_1274792,0
4099_1274793,0
4099_1274794,6
4099_1274796,2
4099_1274797,5
4099_1274798,5
4099_1274801,0
4099_1274802,0
4099_1274803,7
4099_1274806,0
4099_1274809,6
4099_1274810,4
4099_1274811,3
4099_1274812,0
4099_1274813,6
4099_1274814,4
4099_1274815,2
4099_1274816,5
4099_1274817,5
4099_1274819,6
4099_1274821,2
4099_1274823,0
4099_1274824,4
4099_1274825,4
4099_1274827,4
4099_1274828,4
4099_1274830,4
4099_1274832,4
4099_1274834,4
4099_1274835,0
4099_1274836,0
4099_1274837,0
4099_1274839,7
4099_1274841,4
4099_1274842,1
4099_1274843,3
4099_1274844,4
4099_1274845,6
4099_1274846,0
4099_1274847,6
4099_1274849,4
4099_1274850,0
4099_1274851,3
4099_1274852,6
4099_1274853,0
4099_1274854,4
4099_1274855,4
4099_1274856,0
4099_1274859,4
4099_1274860,5
4099_1274861,0
4099_1274862,4
4099_1274863,4
4099_1274865,5
4099_1274866,4
4099_1274867,0
4099_1274868,0
4099_1274869,0
4099_1274870,1
4099_1274872,0
4099_1274873,0
4099_1274874,4
4099_1274875,5
4099_1274877,4
4099_1274878,4
4099_1274879,6
4099_1274881,0
4099_1274882,5
4099_1274883,2
4099_1274885,0
4099_1274886,1
4099_1274887,2
4099_1274888,0
4099_1274889,4
4099_1274890,4
4099_1274891,3
4099_1274892,4
4099_1274893,6
4099_1274894,4
4099_1274895,4
4099_1274896,0
4099_1274897,0
4099_1274899,0
4099_1274900,4
4099_1274901,0
4099_1274902,1
4099_1274903,4
4099_1274904,4
4099_1274906,4
4099_1274907,4
4099_1274908,6
4099_1274909,6
4099_1274910,7
4099_1274911,0
4099_1274912,6
4099_1274915,0
4099_1274916,0
4099_1274917,4
4099_1274918,4
4099_1274919,4
4099_1274920,4
4099_1274922,4
4099_1274923,5
4099_1274924,0
4099_1274926,5
4099_1274927,4
4099_1274928,6
4099_1274930,4
4099_1274931,0
4099_1274932,4
4099_1274933,2
4099_1274934,0
4099_1274935,0
4099_1274936,1
4099_1274937,4
4099_1274938,0
4099_1274939,5
4099_1274940,6
4099_1274941,7
4099_1274942,4
